BALANCE GENERAL;SECTOR;NIT;Caja;Bancos;Cuentas De Ahorro;Fondos;SUBTOTAL DISPONIBLE;INVERSIONES CP;Clientes;Cuentas Corrientes Comerciales;Deudas De Difícil Cobro;Provisiones (db);TOTAL DEUDORES COMERCIALES;Cuentas Por Cobrar A Socios y Accionistas;Anticipos y Avances;Anticipo De Imptos, y Contrib,O Saldos A Favor;Cuentas Por Cobrar a Trabajadores;Activos Biológicos CP;Deudores Varios / Otros Activos No Financieros;TOTAL OTROS DEUDORES;Materias Primas;Productos En Proceso;Productos Terminados;M/Cías No Fabricadas Por La Emp;Materiales, Repuestos y Accesorios;Otros Inventarios y Provisiones;SUBTOTAL INVENTARIOS;Gastos Pagados Por Anticipado;Cargos Diferidos;Amortización Acumulada y Otros;SUBTOTAL DIFERIDO;TOTAL ACTIVO CORRIENTE;Inversiones LP;Activos biológicos no corrientes;CxC comerciales y otras CxC no corrientes;Subtotal Deudores A Largo Plazo;Propiedades Planta Y Equipo;Plusvalía;Activos intangibles distintos de la plusvalía;Subtotal Intangibles;Subtotal Diferidos;Inventarios no corrientes;Activos por impuestos corrientes, no corriente;Otros activos no financieros no corrientes;Activos LP pignorados como garantía para Vender;Subtotal Otros Activos;De Inversiones Y Otros;De Propiedades Planta Y Equipo;Subtotal Valorizaciones;TOTAL ACTIVO NO CORRIENTE;TOTAL ACTIVO;Obligaciones Financieras;Proveedores CP;Costos y Gastos Por Pagar;Retención En La Fuente;Deudas Con Accionistas O Socios;Impuesto A Las Ventas Retenido;Impuesto De Industria y Comercio Retenido;Provisiones, Retenciones y Aportes de Nómina;Otras provisiones corrientes;Acreedores;Otras Cuenta Por Pagar;SUBTOTAL CUENTAS POR PAGAR;IMPUESTOS GRAVAMENES Y TASAS;OBLIGACIONES LABORALES;SUBTOTAL PASIVOS ESTIMAD, Y PROVIS,;DIFERIDOS;Anticipos y Avances Recibidos;Otros;SUBTOTAL OTROS PASIVOS;SUBTOTAL BONOS Y PAPELES COMERCIA,;TOTAL PASIVO CORRIENTE;Obligaciones Financieras;Proveedores LP;Subtotal Cuentas Por Pagar;Impuestos Gravámenes y Tasas;Obligaciones Laborales;Subtotal Pasivos Estimad, y Provis,;Subtotal Diferidos;Subtotal Otros Pasivos;Subtotal Bonos y Papeles Comercia,;TOTAL PASIVO NO CORRIENTE;TOTAL PASIVO;Capital Suscrito y Pagado;Prima de emisión;Acciones propias en cartera;Aportes Sociales y Otros;SUBTOTAL CAPITAL SOCIAL;SUBTOTAL SUPERAVIT DE CAPITAL;RESERVAS;REVALORIZACION DEL PATRIMONIO;DIVIDEN, O PARTC, DECRET, EN ACC,O CUOTAS;RESULTADOS DEL EJERCICIO;RESULTADOS DE EJERCICIOS ANTERIORES;SUPERAVIT POR VALORIZACIONES;INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES;TOTAL PATRIMONIO;TOTAL PASIVO Y PATRIMONIO
2020;CALZADO;830137213;55,81;14,42;0,00;0,00;70,23;0,00;1244,52;0,00;0,00;0,00;1244,52;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2905,44;2905,44;0,00;0,00;0,00;0,00;4220,19;21,39;0,00;0,00;0,00;143,15;4,97;0,00;4,97;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;169,51;4389,70;282,87;1119,90;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;64,27;21,34;0,00;0,00;0,00;0,00;0,00;0,00;1488,38;1131,46;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1131,46;2619,84;700,00;0,00;0,00;0,00;700,00;0,00;99,64;0,00;0,00;0,00;970,21;0,00;0,00;1769,86;4389,70
2019;CALZADO;830137213;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2018;CALZADO;830137213;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2017;CALZADO;830137213;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2016;CALZADO;830137213;0,00;57,90;0,00;0,00;57,90;0,00;1369,18;0,00;0,00;0,00;1369,18;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2884,81;2884,81;0,00;0,00;0,00;0,00;4311,89;12,25;0,00;0,00;0,00;174,71;0,00;2,67;2,67;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;189,63;4501,52;200,50;1687,25;0,00;0,00;0,00;0,00;0,00;17,49;0,00;0,00;0,00;17,49;102,56;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2007,80;565,10;0,00;0,00;0,00;0,00;0,00;14,99;466,97;0,00;1047,06;3054,86;700,00;0,00;0,00;0,00;700,00;0,00;24,64;0,00;0,00;0,00;722,02;0,00;0,00;1446,66;4501,52
2015;CALZADO;830137213;17,30;156,88;0,00;0,00;174,18;12,25;1455,36;0,00;101,61;0,00;1556,97;0,00;5,00;92,83;5,85;0,00;151,06;254,74;396,56;294,89;1187,44;0,00;0,00;0,00;1878,90;0,00;0,00;0,00;0,00;3877,04;0,00;0,00;0,00;0,00;219,59;0,00;0,00;0,00;47,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;267,09;4144,13;180,55;1173,45;24,20;38,24;0,00;0,00;0,00;1,54;0,00;83,41;0,00;147,39;6,46;20,80;69,89;0,00;0,00;0,00;0,00;0,00;1598,54;688,02;0,00;567,69;0,00;0,00;0,00;0,00;0,00;0,00;1255,71;2854,25;0,00;0,00;0,00;700,00;700,00;0,00;24,64;14,64;0,00;141,89;408,71;0,00;0,00;1289,88;4144,13
2014;CALZADO;830137213;0,82;1,73;0,00;0,00;2,55;12,25;692,17;0,00;112,79;11,18;793,77;0,00;5,00;49,81;5,85;0,00;37,24;97,90;600,00;0,00;946,88;0,00;0,00;0,00;1546,87;0,00;0,00;0,00;0,00;2453,35;0,00;0,00;0,00;0,00;286,07;0,00;0,00;0,00;27,98;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;314,05;2767,40;127,49;347,46;25,22;11,16;12,97;0,00;0,00;1,73;0,00;2,73;0,00;53,81;1,34;13,32;36,14;0,00;0,00;0,00;0,00;0,00;579,55;789,25;0,00;243,15;0,00;0,00;0,00;0,00;0,00;0,00;1032,40;1611,95;0,00;0,00;0,00;700,00;700,00;0,00;24,64;14,64;0,00;108,41;307,76;0,00;0,00;1155,45;2767,40
2013;CALZADO;830137213;73,12;12,45;0,00;0,00;85,57;12,25;271,95;0,00;0,00;0,00;271,95;0,00;0,00;46,04;5,85;0,00;16,01;67,90;1100,21;0,00;1587,75;5,19;0,00;0,00;2693,15;0,00;23,08;0,00;23,08;3153,90;0,00;0,00;0,00;0,00;274,08;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;274,08;3427,98;151,31;536,69;12,14;2,47;114,04;0,00;0,00;0,00;0,00;136,91;0,00;265,55;0,00;5,74;33,76;0,00;0,00;0,00;0,00;0,00;993,05;275,23;0,00;1112,67;0,00;0,00;0,00;0,00;0,00;0,00;1387,90;2380,94;0,00;0,00;0,00;700,00;700,00;0,00;24,64;14,64;0,00;101,28;206,48;0,00;0,00;1047,04;3427,98
2012;CALZADO;830137213;3,52;10,91;0,00;12,25;26,69;0,00;143,87;0,00;0,00;0,00;143,87;0,00;46,08;83,40;5,85;0,00;3,32;138,65;293,16;173,74;1667,13;3,69;0,00;0,00;2137,71;15,36;15,98;0,00;31,34;2478,25;0,00;0,00;0,00;0,00;315,15;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;315,15;2793,41;195,11;489,59;36,40;0,22;74,78;0,00;0,00;7,69;0,00;86,36;0,00;205,45;0,00;2,66;16,25;0,00;0,00;0,00;0,00;0,00;909,06;473,62;0,00;814,98;0,00;0,00;0,00;0,00;0,00;0,00;1288,60;2197,65;0,00;0,00;0,00;350,00;350,00;0,00;24,64;14,64;0,00;32,99;173,48;0,00;0,00;595,75;2793,41
2011;CALZADO;830137213;0,85;78,55;0,00;12,25;91,66;0,00;185,31;0,00;0,00;0,00;185,31;0,00;39,88;30,67;5,85;0,00;0,00;76,40;267,26;78,06;1471,98;0,00;0,00;0,00;1817,30;0,00;9,65;0,00;9,65;2180,31;0,00;0,00;0,00;0,00;310,86;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;310,86;2491,17;132,98;591,10;75,44;2,48;296,38;0,00;0,00;4,20;0,00;177,52;0,00;556,03;0,34;2,76;19,39;0,00;0,00;0,00;0,00;0,00;1302,58;425,83;0,00;200,00;0,00;0,00;0,00;0,00;0,00;0,00;625,83;1928,41;0,00;0,00;0,00;350,00;350,00;0,00;5,36;14,64;0,00;40,49;152,27;0,00;0,00;562,76;2491,17
2010;CALZADO;830137213;66,17;1,14;0,00;0,00;67,31;0,00;252,44;0,00;0,00;0,00;252,44;0,00;19,01;40,66;0,00;0,00;0,00;59,67;256,48;197,83;636,58;0,00;0,00;0,00;1090,89;6,01;7,94;0,00;13,95;1484,27;0,00;0,00;0,00;0,00;289,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;289,25;1773,52;348,13;259,79;9,22;1,67;612,92;0,00;0,00;1,50;0,00;14,68;0,00;639,99;2,22;2,17;26,00;0,00;0,00;0,00;0,00;0,00;1278,28;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1278,28;0,00;0,00;0,00;350,00;350,00;0,00;1,43;14,64;0,00;52,78;76,38;0,00;0,00;495,23;1773,52
2009;CALZADO;830137213;99,54;0,00;0,00;0,00;99,54;0,00;122,33;0,00;0,00;0,00;122,33;0,00;0,00;27,48;0,00;0,00;81,61;109,09;125,21;98,36;396,58;0,00;0,00;0,00;620,15;214,14;6,24;0,00;220,38;1171,49;0,00;0,00;0,00;0,00;166,97;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;166,97;1338,46;360,24;150,42;32,83;1,98;300,00;0,00;0,00;0,00;0,00;29,45;0,00;364,26;1,38;0,00;19,70;0,00;0,00;0,00;0,00;0,00;896,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;896,01;0,00;0,00;0,00;350,00;350,00;0,00;1,43;14,64;0,00;40,01;36,38;0,00;0,00;442,45;1338,46
2008;CALZADO;830137213;0,00;38,74;0,00;0,00;38,74;0,00;166,57;0,00;0,00;0,00;166,57;0,00;0,00;24,80;0,00;0,00;59,17;83,97;618,75;0,00;548,43;0,00;0,00;0,00;1167,18;181,98;0,00;0,00;181,98;1638,44;0,00;0,00;0,00;0,00;203,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;203,01;1841,45;57,09;755,42;27,22;0,64;0,00;0,00;0,00;0,00;0,00;584,58;0,00;612,44;1,96;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1426,90;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1426,90;0,00;0,00;0,00;350,00;350,00;0,00;2,11;14,64;0,00;24,57;23,23;0,00;0,00;414,55;1841,45
2007;CALZADO;830137213;10,14;6,89;0,00;0,00;17,03;0,00;245,13;0,00;0,00;0,00;245,13;0,00;0,00;10,92;0,00;0,00;18,43;29,35;658,34;0,00;0,00;0,00;0,00;0,00;658,34;187,31;0,00;0,00;187,31;1137,14;0,00;0,00;0,00;0,00;242,92;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;242,92;1380,06;145,83;567,15;5,84;3,04;0,00;0,00;0,00;0,00;0,00;175,87;0,00;184,75;0,91;0,00;0,00;0,11;0,00;103,29;103,29;0,00;1002,05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1002,05;0,00;0,00;0,00;350,00;350,00;0,00;0,00;14,64;0,00;13,38;0,00;0,00;0,00;378,02;1380,06
2006;CALZADO;830137213;4,98;0,00;0,00;0,00;4,98;0,00;201,88;0,00;0,00;0,00;201,88;0,00;0,20;17,55;0,00;0,00;0,25;18,00;601,96;0,00;0,00;0,00;0,00;0,00;601,96;0,00;0,00;0,00;0,00;826,81;0,00;0,00;0,00;0,00;255,81;0,00;0,00;0,00;281,57;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;537,38;1364,19;91,18;354,53;2,00;1,08;0,00;0,00;0,00;1,08;0,00;549,18;0,00;553,34;7,21;0,00;0,00;0,11;0,00;0,00;0,00;0,00;1006,37;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1006,37;0,00;0,00;0,00;350,00;350,00;0,00;0,00;14,64;0,00;1,08;7,90;0,00;0,00;357,82;1364,19
