BALANCE GENERAL;SECTOR;NIT;Caja;Bancos;Cuentas De Ahorro;Fondos;SUBTOTAL DISPONIBLE;INVERSIONES CP;Clientes;Cuentas Corrientes Comerciales;Deudas De Difícil Cobro;Provisiones (db);TOTAL DEUDORES COMERCIALES;Cuentas Por Cobrar A Socios y Accionistas;Anticipos y Avances;Anticipo De Imptos. y Contrib.O Saldos A Favor;Cuentas Por Cobrar a Trabajadores;Activos Biológicos CP;Deudores Varios / Otros Activos No Financieros;TOTAL OTROS DEUDORES;Materias Primas;Productos En Proceso;Productos Terminados;M/Cías No Fabricadas Por La Emp;Materiales, Repuestos y Accesorios;Otros Inventarios y Provisiones;SUBTOTAL INVENTARIOS;Gastos Pagados Por Anticipado;Cargos Diferidos;Amortización Acumulada y Otros;SUBTOTAL DIFERIDO;TOTAL ACTIVO CORRIENTE;Inversiones LP;Activos biológicos no corrientes;CxC comerciales y otras CxC no corrientes;Subtotal Deudores A Largo Plazo;Propiedades Planta Y Equipo;Plusvalía;Activos intangibles distintos de la plusvalía;Subtotal Intangibles;Subtotal Diferidos;Inventarios no corrientes;Activos por impuestos corrientes, no corriente;Otros activos no financieros no corrientes;Activos LP pignorados como garantía para Vender;Subtotal Otros Activos;De Inversiones Y Otros;De Propiedades Planta Y Equipo;Subtotal Valorizaciones;TOTAL ACTIVO NO CORRIENTE;TOTAL ACTIVO;Obligaciones Financieras;Proveedores CP;Costos y Gastos Por Pagar;Retención En La Fuente;Deudas Con Accionistas O Socios;Impuesto A Las Ventas Retenido;Impuesto De Industria y Comercio Retenido;Provisiones, Retenciones y Aportes de Nómina;Otras provisiones corrientes;Acreedores;Otras Cuenta Por Pagar;SUBTOTAL CUENTAS POR PAGAR;IMPUESTOS GRAVAMENES Y TASAS;OBLIGACIONES LABORALES;SUBTOTAL PASIVOS ESTIMAD. Y PROVIS.;DIFERIDOS;Anticipos y Avances Recibidos;Otros;SUBTOTAL OTROS PASIVOS;SUBTOTAL BONOS Y PAPELES COMERCIA.;TOTAL PASIVO CORRIENTE;Obligaciones Financieras;Proveedores LP;Subtotal Cuentas Por Pagar;Impuestos Gravámenes y Tasas;Obligaciones Laborales;Subtotal Pasivos Estimad. y Provis.;Subtotal Diferidos;Subtotal Otros Pasivos;Subtotal Bonos y Papeles Comercia.;TOTAL PASIVO NO CORRIENTE;TOTAL PASIVO;Capital Suscrito y Pagado;Prima de emisión;Acciones propias en cartera;Aportes Sociales y Otros;SUBTOTAL CAPITAL SOCIAL;SUBTOTAL SUPERAVIT DE CAPITAL;RESERVAS;REVALORIZACION DEL PATRIMONIO;DIVIDEN. O PARTC. DECRET. EN ACC.O CUOTAS;RESULTADOS DEL EJERCICIO;RESULTADOS DE EJERCICIOS ANTERIORES;SUPERAVIT POR VALORIZACIONES;INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES;TOTAL PATRIMONIO;TOTAL PASIVO Y PATRIMONIO
2020;CALZADO;800078522;62,41;1000,31;0,00;0,00;1062,72;0,00;4724,56;0,00;0,00;34,35;4690,22;0,00;8,61;1186,95;0,00;0,00;0,00;1195,56;0,00;0,00;0,00;0,00;0,00;6157,42;6157,42;0,00;0,00;0,00;0,00;13105,91;0,00;0,00;442,30;442,30;18247,48;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18689,78;31795,69;1265,64;6152,65;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2432,78;167,27;0,00;0,00;0,00;709,40;709,40;0,00;10727,73;13719,12;0,00;0,00;1917,11;0,00;0,00;65,37;0,00;0,00;15701,59;26429,33;2862,00;0,00;0,00;0,00;2862,00;0,00;522,21;0,00;0,00;0,00;1982,16;0,00;0,00;5366,37;31795,69
2019;CALZADO;800078522;0,00;744,21;0,00;0,00;744,21;0,00;4782,35;0,00;0,00;0,00;4782,35;0,00;0,00;1005,26;0,00;0,00;0,00;1005,26;0,00;0,00;0,00;0,00;0,00;7629,46;7629,46;0,00;0,00;0,00;0,00;14161,28;0,00;0,00;961,59;961,59;17026,10;0,00;0,00;0,00;20,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18008,44;32169,73;1445,02;6710,49;0,00;0,00;0,00;0,00;0,00;484,27;0,00;0,00;143,00;627,27;3130,41;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11913,20;12597,87;0,00;336,30;0,00;0,00;0,00;0,00;0,00;0,00;12934,17;24847,37;2862,00;0,00;0,00;0,00;2862,00;0,00;522,20;0,00;0,00;0,00;3938,15;0,00;0,00;7322,36;32169,73
2018;CALZADO;800078522;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2017;CALZADO;800078522;41,07;979,54;0,00;0,00;1020,61;101,77;7355,97;0,00;0,00;0,00;7355,97;0,00;0,00;943,95;0,00;0,00;70,10;1014,05;0,00;0,00;0,00;0,00;0,00;6798,51;6798,51;0,00;0,00;0,00;0,00;16290,91;0,00;0,00;807,73;807,73;15673,98;0,00;218,40;218,40;449,45;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;17149,56;33440,47;2777,95;5737,17;252,00;0,00;0,00;0,00;0,00;84,57;0,00;0,00;0,00;336,56;2403,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11254,68;13244,39;641,40;0,00;0,00;0,00;2,68;514,21;582,97;0,00;14985,65;26240,33;2862,00;0,00;0,00;0,00;2862,00;0,00;512,25;0,00;0,00;0,00;3825,89;0,00;0,00;7200,14;33440,47
2016;CALZADO;800078522;0,00;3045,65;0,00;0,00;3045,65;0,00;6006,26;0,00;0,00;0,00;6006,26;0,00;0,00;662,48;0,00;0,00;0,00;662,48;0,00;0,00;0,00;0,00;0,00;4921,50;4921,50;0,00;0,00;0,00;0,00;14635,90;0,00;0,00;203,75;203,75;2819,21;0,00;411,82;411,82;134,47;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3569,25;18205,15;3,57;6529,72;0,00;0,00;0,00;0,00;0,00;63,09;0,00;0,00;94,69;157,78;2144,62;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8835,69;1852,97;897,43;8,94;0,00;0,00;0,00;199,23;23,22;0,00;2981,79;11817,48;862,00;0,00;0,00;0,00;862,00;0,00;431,00;55,40;0,00;0,00;5039,27;0,00;0,00;6387,67;18205,15
2015;CALZADO;800078522;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2014;CALZADO;800078522;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2013;CALZADO;800078522;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2012;CALZADO;800078522;10,96;729,53;117,88;0,00;858,38;0,00;3566,40;0,00;0,00;72,11;3494,29;0,00;15,89;239,37;21,85;0,00;26,75;303,87;730,26;328,43;592,09;175,01;29,04;0,00;1854,82;0,00;0,00;0,00;0,00;6511,35;1,59;0,00;0,00;231,71;1234,35;0,00;0,00;121,93;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1589,58;8100,94;17,79;3455,36;465,55;72,87;12,76;0,00;12,96;90,90;0,00;54,92;0,00;709,95;453,28;12,19;96,77;0,00;0,00;0,00;0,00;0,00;4745,33;8,74;0,00;0,00;0,00;0,00;0,00;0,00;2596,26;0,00;2604,99;7350,32;0,00;0,00;0,00;862,00;862,00;0,00;51,43;719,26;0,00;429,05;1311,13;0,00;0,00;750,62;8100,94
2011;CALZADO;800078522;13,14;807,19;66,19;0,00;886,51;0,00;3099,39;0,00;0,00;10,24;3089,14;0,00;15,96;0,00;9,09;0,00;4,74;29,79;611,17;146,41;547,48;80,98;23,21;0,00;1409,24;0,00;0,00;0,00;0,00;5414,69;1,59;0,00;0,00;416,37;767,49;0,00;0,00;1524,99;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2710,43;8125,11;781,87;1851,00;167,71;15,91;0,00;1,43;0,91;81,00;0,00;111,81;0,00;378,77;408,57;6,62;75,25;0,00;0,00;0,00;0,00;0,00;3502,08;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3101,47;0,00;3101,47;6603,55;0,00;0,00;0,00;862,00;862,00;1200,00;51,43;719,26;0,00;367,98;1679,11;0,00;0,00;1521,57;8125,11
2010;CALZADO;800078522;20,50;474,77;0,00;77,22;572,49;0,00;2233,33;0,00;0,00;0,00;2233,33;0,00;4,86;251,64;33,32;0,00;3,52;293,34;538,14;253,89;454,72;16,44;17,67;2,81;1283,67;0,00;0,00;0,00;0,00;4382,83;1,59;0,00;0,00;1611,70;496,75;0,00;0,00;1522,15;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3632,19;8015,02;518,73;1486,97;113,04;11,66;66,58;0,12;0,69;73,72;0,00;96,36;0,00;362,18;563,16;8,03;52,93;0,00;40,82;0,00;40,82;0,00;3032,82;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3516,25;0,00;3516,25;6549,07;0,00;0,00;0,00;862,00;862,00;0,00;51,43;719,26;0,00;714,25;2081,00;1200,00;0,00;1465,95;8015,02
