BALANCE GENERAL;SECTOR;NIT;Caja;Bancos;Cuentas De Ahorro;Fondos;SUBTOTAL DISPONIBLE;INVERSIONES CP;Clientes;Cuentas Corrientes Comerciales;Deudas De Difícil Cobro;Provisiones (db);TOTAL DEUDORES COMERCIALES;Cuentas Por Cobrar A Socios y Accionistas;Anticipos y Avances;Anticipo De Imptos, y Contrib,O Saldos A Favor;Cuentas Por Cobrar a Trabajadores;Activos Biológicos CP;Deudores Varios / Otros Activos No Financieros;TOTAL OTROS DEUDORES;Materias Primas;Productos En Proceso;Productos Terminados;M/Cías No Fabricadas Por La Emp;Materiales, Repuestos y Accesorios;Otros Inventarios y Provisiones;SUBTOTAL INVENTARIOS;Gastos Pagados Por Anticipado;Cargos Diferidos;Amortización Acumulada y Otros;SUBTOTAL DIFERIDO;TOTAL ACTIVO CORRIENTE;Inversiones LP;Activos biológicos no corrientes;CxC comerciales y otras CxC no corrientes;Subtotal Deudores A Largo Plazo;Propiedades Planta Y Equipo;Plusvalía;Activos intangibles distintos de la plusvalía;Subtotal Intangibles;Subtotal Diferidos;Inventarios no corrientes;Activos por impuestos corrientes, no corriente;Otros activos no financieros no corrientes;Activos LP pignorados como garantía para Vender;Subtotal Otros Activos;De Inversiones Y Otros;De Propiedades Planta Y Equipo;Subtotal Valorizaciones;TOTAL ACTIVO NO CORRIENTE;TOTAL ACTIVO;Obligaciones Financieras;Proveedores CP;Costos y Gastos Por Pagar;Retención En La Fuente;Deudas Con Accionistas O Socios;Impuesto A Las Ventas Retenido;Impuesto De Industria y Comercio Retenido;Provisiones, Retenciones y Aportes de Nómina;Otras provisiones corrientes;Acreedores;Otras Cuenta Por Pagar;SUBTOTAL CUENTAS POR PAGAR;IMPUESTOS GRAVAMENES Y TASAS;OBLIGACIONES LABORALES;SUBTOTAL PASIVOS ESTIMAD, Y PROVIS,;DIFERIDOS;Anticipos y Avances Recibidos;Otros;SUBTOTAL OTROS PASIVOS;SUBTOTAL BONOS Y PAPELES COMERCIA,;TOTAL PASIVO CORRIENTE;Obligaciones Financieras;Proveedores LP;Subtotal Cuentas Por Pagar;Impuestos Gravámenes y Tasas;Obligaciones Laborales;Subtotal Pasivos Estimad, y Provis,;Subtotal Diferidos;Subtotal Otros Pasivos;Subtotal Bonos y Papeles Comercia,;TOTAL PASIVO NO CORRIENTE;TOTAL PASIVO;Capital Suscrito y Pagado;Prima de emisión;Acciones propias en cartera;Aportes Sociales y Otros;SUBTOTAL CAPITAL SOCIAL;SUBTOTAL SUPERAVIT DE CAPITAL;RESERVAS;REVALORIZACION DEL PATRIMONIO;DIVIDEN, O PARTC, DECRET, EN ACC,O CUOTAS;RESULTADOS DEL EJERCICIO;RESULTADOS DE EJERCICIOS ANTERIORES;SUPERAVIT POR VALORIZACIONES;INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES;TOTAL PATRIMONIO;TOTAL PASIVO Y PATRIMONIO
2020;calzado;800220701;0.00;427.09;0.00;0.00;427.09;0.00;2160.04;0.00;0.00;0.00;2160.04;0.00;0.00;416.60;0.00;0.00;100.52;517.11;0.00;0.00;0.00;0.00;0.00;2667.82;2667.82;0.00;0.00;0.00;0.00;5772.06;0.00;0.00;0.00;0.00;1959.76;0.00;0.00;0.00;1.91;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1961.67;7733.72;0.00;223.86;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;79.75;28.95;0.00;0.00;0.00;59.68;59.68;0.00;392.23;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;392.23;365.00;0.00;0.00;0.00;365.00;0.00;182.50;0.00;0.00;0.00;6793.99;0.00;0.00;7341.49;7733.72
2019;calzado;800220701;0.00;837.32;0.00;0.00;837.32;0.00;3072.42;0.00;0.00;0.00;3072.42;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1367.77;1367.77;0.00;0.00;0.00;0.00;5277.52;115.52;0.00;0.00;0.00;2375.93;0.00;0.00;0.00;7.42;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2498.86;7776.38;0.00;266.06;0.00;0.00;0.00;0.00;0.00;8.01;0.00;0.00;0.00;8.01;11.59;0.00;0.00;0.00;0.00;0.00;0.00;0.00;285.66;0.00;0.00;0.00;0.00;0.00;0.00;57.95;0.00;0.00;57.95;343.61;365.00;0.00;0.00;0.00;365.00;0.00;182.50;0.00;0.00;0.00;6885.27;0.00;0.00;7432.77;7776.38
2018;calzado;800220701;0.00;943.13;0.00;0.00;943.13;0.00;3613.37;0.00;0.00;0.00;3613.37;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1067.72;1067.72;0.00;0.00;0.00;0.00;5624.22;115.52;0.00;0.00;0.00;2244.98;0.00;0.00;0.00;15.82;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2376.32;8000.54;4.12;651.22;0.00;0.00;0.00;0.00;0.00;23.46;0.00;0.00;0.00;23.46;239.55;0.00;0.00;0.00;0.00;0.00;0.00;0.00;918.36;0.00;0.00;0.00;0.00;0.00;0.00;53.48;0.00;0.00;53.48;971.84;365.00;0.00;0.00;0.00;365.00;0.00;182.50;0.00;0.00;0.00;6481.20;0.00;0.00;7028.70;8000.54
2017;calzado;800220701;0.30;2605.30;0.00;0.00;2605.60;0.00;4050.15;0.00;0.00;0.00;4050.15;0.00;0.00;0.00;0.00;0.00;15.63;15.63;0.00;0.00;0.00;0.00;0.00;1222.82;1222.82;0.00;0.00;0.00;0.00;7894.20;0.00;0.00;0.00;0.00;2569.03;0.00;0.00;0.00;56.97;0.00;0.00;115.52;0.00;115.52;0.00;0.00;0.00;2741.51;10635.71;26.99;2595.43;0.00;0.00;0.00;0.00;0.00;218.33;0.00;0.00;0.00;218.33;329.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3170.25;0.00;0.00;0.00;0.00;0.00;0.00;43.78;0.00;0.00;43.78;3214.02;365.00;0.00;0.00;0.00;365.00;0.00;182.50;0.00;0.00;0.00;6874.18;0.00;0.00;7421.68;10635.71
2016;calzado;800220701;0.00;2880.15;0.00;0.00;2880.15;0.00;2690.89;0.00;0.00;0.00;2690.89;0.00;0.00;239.04;0.00;0.00;0.00;239.04;0.00;0.00;0.00;0.00;0.00;1118.16;1118.16;0.00;0.00;0.00;0.00;6928.25;0.00;0.00;0.00;0.00;2578.64;0.00;0.00;0.00;143.88;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2722.52;9650.77;206.42;1800.99;0.00;0.00;0.00;0.00;0.00;166.80;0.00;0.00;13.34;180.15;260.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2448.36;0.00;0.00;0.00;0.00;0.00;0.00;30.57;0.00;0.00;30.57;2478.93;365.00;0.00;0.00;0.00;365.00;0.00;182.50;0.00;0.00;0.00;6624.34;0.00;0.00;7171.84;9650.77
2015;calzado;800220701;0.00;1101.68;86.19;0.00;1187.87;0.00;3596.21;0.00;477.89;403.88;3670.22;0.00;37.19;727.76;12.06;0.00;33.90;810.91;2702.88;0.00;0.00;0.00;0.00;87.06;2789.94;0.00;0.00;0.00;0.00;8458.94;0.00;0.00;0.00;0.00;2562.28;0.00;0.00;155.89;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2718.17;11177.10;113.90;3214.87;0.00;20.81;0.00;0.58;1.99;0.00;0.00;0.00;0.00;23.38;642.45;146.61;7.41;0.00;1.97;9.06;11.03;0.00;4159.65;169.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;169.00;4328.65;365.00;0.00;0.00;0.00;365.00;0.00;182.50;495.11;0.00;1026.15;4779.70;0.00;0.00;6848.46;11177.10
2014;calzado;800220701;4.07;1033.13;116.08;0.00;1153.28;0.00;3295.32;0.00;297.21;297.21;3295.32;0.00;7.76;608.51;1.75;0.00;21.16;639.18;1696.44;0.00;0.00;0.00;0.00;34.09;1730.53;4.37;0.00;0.00;4.37;6822.69;0.00;0.00;0.00;0.00;2514.89;0.00;0.00;200.14;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2715.03;9537.71;894.86;1682.85;0.00;28.16;0.00;1.26;1.37;0.00;0.00;0.03;0.00;30.81;472.54;136.13;95.31;0.00;7.03;10.22;17.25;0.00;3329.75;169.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;169.00;3498.75;365.00;0.00;0.00;0.00;365.00;0.00;182.50;532.08;0.00;117.09;4842.29;0.00;0.00;6038.96;9537.71
2013;calzado;800220701;7.41;666.47;54.26;0.00;728.15;0.00;2915.80;0.00;110.75;68.82;2957.73;0.00;13.48;475.27;28.03;0.00;16.27;533.05;2174.51;0.00;0.00;0.00;0.00;82.50;2257.00;5.14;0.00;0.00;5.14;6481.06;0.00;0.00;0.00;0.00;2238.32;0.00;0.00;353.13;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2591.44;9072.51;670.61;1592.96;0.00;15.74;0.00;4.25;0.94;5.02;0.00;0.00;0.00;25.95;435.70;179.68;6.30;0.00;18.91;15.53;34.44;0.00;2945.64;169.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;169.00;3114.64;365.00;0.00;0.00;0.00;365.00;0.00;182.50;532.08;0.00;305.84;4572.45;0.00;0.00;5957.86;9072.51
2012;calzado;800220701;0.00;353.47;226.93;0.00;580.40;0.59;5209.29;0.00;218.86;114.43;5313.71;0.00;8.31;532.54;28.80;0.00;22.47;592.12;3274.53;0.00;0.00;0.00;0.00;99.60;3374.14;27.59;0.00;0.00;27.59;9888.56;0.00;0.00;0.00;0.00;2201.79;0.00;0.00;753.39;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2955.18;12843.74;2264.66;3364.48;0.00;26.05;0.00;30.71;1.85;0.00;0.00;0.00;0.00;58.61;989.37;164.25;17.82;0.00;8.67;4.71;13.38;0.00;6872.57;283.14;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;283.14;7155.71;365.00;0.00;0.00;0.00;365.00;0.00;182.50;532.08;0.00;1762.19;2846.26;0.00;0.00;5688.02;12843.74
2011;calzado;800220701;0.00;488.43;315.25;0.00;803.68;0.00;5168.50;0.00;304.00;155.42;5317.07;0.00;67.48;527.01;11.08;0.00;1.38;606.95;2089.73;0.00;0.00;0.00;0.00;45.48;2135.21;24.60;3.76;0.00;28.36;8891.28;0.59;0.00;0.00;0.00;1788.01;0.00;0.00;1048.39;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2836.98;11728.26;3415.79;2216.87;0.00;17.04;0.00;16.31;2.00;0.00;0.00;0.00;0.00;35.34;1384.72;116.09;10.43;0.00;6.09;0.00;6.09;0.00;7185.35;575.63;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;575.63;7760.97;365.00;0.00;0.00;0.00;365.00;0.00;182.50;532.08;0.00;1559.51;1328.21;0.00;0.00;3967.29;11728.26
