BALANCE GENERAL;sector;NIT;Caja;Bancos;Cuentas De Ahorro;Fondos;SUBTOTAL DISPONIBLE;INVERSIONES CP;Clientes;Cuentas Corrientes Comerciales;Deudas De Difícil Cobro;Provisiones (db);TOTAL DEUDORES COMERCIALES;Cuentas Por Cobrar A Socios y Accionistas;Anticipos y Avances;Anticipo De Imptos. y Contrib.O Saldos A Favor;Cuentas Por Cobrar a Trabajadores;Activos Biológicos CP;Deudores Varios / Otros Activos No Financieros;TOTAL OTROS DEUDORES;Materias Primas;Productos En Proceso;Productos Terminados;M/Cías No Fabricadas Por La Emp;Materiales, Repuestos y Accesorios;Otros Inventarios y Provisiones;SUBTOTAL INVENTARIOS;Gastos Pagados Por Anticipado;Cargos Diferidos;Amortización Acumulada y Otros;SUBTOTAL DIFERIDO;TOTAL ACTIVO CORRIENTE;Inversiones LP;Activos biológicos no corrientes;CxC comerciales y otras CxC no corrientes;Subtotal Deudores A Largo Plazo;Propiedades Planta Y Equipo;Plusvalía;Activos intangibles distintos de la plusvalía;Subtotal Intangibles;Subtotal Diferidos;Inventarios no corrientes;Activos por impuestos corrientes, no corriente;Otros activos no financieros no corrientes;Activos LP pignorados como garantía para Vender;Subtotal Otros Activos;De Inversiones Y Otros;De Propiedades Planta Y Equipo;Subtotal Valorizaciones;TOTAL ACTIVO NO CORRIENTE;TOTAL ACTIVO;Obligaciones Financieras;Proveedores CP;Costos y Gastos Por Pagar;Retención En La Fuente;Deudas Con Accionistas O Socios;Impuesto A Las Ventas Retenido;Impuesto De Industria y Comercio Retenido;Provisiones, Retenciones y Aportes de Nómina;Otras provisiones corrientes;Acreedores;Otras Cuenta Por Pagar;SUBTOTAL CUENTAS POR PAGAR;IMPUESTOS GRAVAMENES Y TASAS;OBLIGACIONES LABORALES;SUBTOTAL PASIVOS ESTIMAD. Y PROVIS.;DIFERIDOS;Anticipos y Avances Recibidos;Otros;SUBTOTAL OTROS PASIVOS;SUBTOTAL BONOS Y PAPELES COMERCIA.;TOTAL PASIVO CORRIENTE;Obligaciones Financieras;Proveedores LP;Subtotal Cuentas Por Pagar;Impuestos Gravámenes y Tasas;Obligaciones Laborales;Subtotal Pasivos Estimad. y Provis.;Subtotal Diferidos;Subtotal Otros Pasivos;Subtotal Bonos y Papeles Comercia.;TOTAL PASIVO NO CORRIENTE;TOTAL PASIVO;Capital Suscrito y Pagado;Prima de emisión;Acciones propias en cartera;Aportes Sociales y Otros;SUBTOTAL CAPITAL SOCIAL;SUBTOTAL SUPERAVIT DE CAPITAL;RESERVAS;REVALORIZACION DEL PATRIMONIO;DIVIDEN. O PARTC. DECRET. EN ACC.O CUOTAS;RESULTADOS DEL EJERCICIO;RESULTADOS DE EJERCICIOS ANTERIORES;SUPERAVIT POR VALORIZACIONES;INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES;TOTAL PATRIMONIO
2020.00;educacion;890913319.00;3.50;2345.74;1003.46;0.00;3352.70;0.00;5851.57;0.00;0.00;3660.96;2190.61;0.00;127.47;1385.99;0.00;0.00;400.52;1913.97;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7457.28;0.00;0.00;0.00;0.00;20429.86;0.00;1028.03;1028.03;869.37;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;22327.26;29784.54;4801.77;920.42;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;145.10;145.10;606.10;0.00;526.65;0.00;0.00;3583.87;3583.87;0.00;10583.90;15783.93;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;15783.93;26367.83;1599.91;0.00;0.00;0.00;1599.91;0.00;931.10;0.00;0.00;0.00;885.71;0.00;0.00;3416.71
2019.00;educacion;890913319.00;0.00;1101.27;0.00;0.00;1101.27;0.00;5036.67;0.00;0.00;0.00;5036.67;0.00;0.00;584.12;0.00;0.00;254.41;838.53;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6976.47;0.00;0.00;0.00;0.00;3015.37;0.00;21547.08;21547.08;121.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;24684.25;31660.72;4780.07;405.62;0.00;0.00;0.00;0.00;0.00;345.88;0.00;0.00;4722.18;5068.06;264.19;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10517.95;18607.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;18607.80;29125.74;1599.91;0.00;0.00;0.00;1599.91;0.00;931.10;0.00;0.00;0.00;3.98;0.00;0.00;2534.98
2018.00;educacion;890913319.00;0.00;327.14;0.00;0.00;327.14;0.00;8064.26;0.00;0.00;0.00;8064.26;0.00;0.00;564.78;0.00;0.00;51.00;615.78;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;9007.17;0.00;0.00;0.00;0.00;1629.19;0.00;833.73;833.73;3.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2466.16;11473.34;1788.16;336.83;0.00;0.00;0.00;0.00;0.00;338.75;0.00;4965.88;0.00;5304.63;437.43;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7867.05;29.60;0.00;0.00;0.00;0.00;0.00;70.43;0.00;0.00;100.03;7967.07;1599.91;0.00;0.00;0.00;1599.91;0.00;904.48;0.00;0.00;0.00;1001.87;0.00;0.00;3506.26
2017.00;educacion;890913319.00;3.50;123.30;0.00;0.00;126.80;0.00;5640.94;0.00;0.00;0.00;5640.94;0.00;80.37;251.79;0.00;0.00;1.85;334.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6101.74;0.00;0.00;0.00;0.00;1727.56;0.00;433.66;433.66;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2161.21;8262.95;1102.29;343.86;3767.54;0.00;0.00;0.00;0.00;480.86;0.00;0.00;0.00;4248.40;26.27;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5720.82;0.00;0.00;0.00;0.00;0.00;0.00;37.74;0.00;0.00;37.74;5758.56;1599.91;0.00;0.00;0.00;1599.91;0.00;899.54;0.00;0.00;0.00;4.95;0.00;0.00;2504.39
2016.00;educacion;890913319.00;0.00;1050.89;0.00;0.00;1050.89;71.34;3610.34;0.00;0.00;0.00;3610.34;0.00;0.00;289.03;0.00;0.00;1.09;290.12;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5022.68;0.00;0.00;0.00;0.00;1793.73;0.00;0.00;0.00;382.34;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2176.07;7198.75;20.15;438.45;0.00;0.00;0.00;0.00;0.00;394.02;0.00;0.00;4382.39;4776.41;4.77;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5239.77;0.00;0.00;109.71;0.00;0.00;0.00;0.00;0.00;0.00;109.71;5349.49;1599.91;0.00;0.00;0.00;1599.91;0.00;899.54;0.00;0.00;0.00;650.18;0.00;0.00;1849.26
2015.00;educacion;890913319.00;3.50;285.80;1596.42;0.00;1885.72;891.01;4246.43;0.00;0.00;9.66;4236.77;10582.51;73.23;1.25;24.13;0.00;165.40;10846.51;0.00;0.00;0.00;0.00;0.00;0.00;0.00;66.20;0.00;0.00;66.20;17926.21;4.95;0.00;0.00;0.00;1941.58;0.00;0.00;712.04;342.65;0.00;0.00;0.00;0.00;0.00;0.00;68.99;68.99;3070.20;20996.41;0.00;53.25;149.71;37.12;0.00;0.92;0.19;79.32;0.00;168.79;0.00;436.06;878.03;257.11;3.99;4650.80;6.03;80.35;86.38;0.00;6365.61;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6365.61;1599.91;0.00;0.00;0.00;1599.91;0.00;279.53;0.35;0.00;12682.02;0.00;68.99;0.00;14630.80
2014.00;educacion;890913319.00;3.50;70.01;1176.31;0.00;1249.82;2.99;3381.53;0.00;0.00;0.00;3381.53;3114.70;8.77;8.46;17.71;0.00;980.92;4130.55;0.00;0.00;0.00;0.00;0.00;0.00;0.00;26.74;363.78;0.00;390.51;9155.41;5.11;0.00;0.00;0.00;17873.36;0.00;0.00;961.46;389.34;0.00;0.00;0.00;0.00;0.00;2.07;19706.30;19708.37;38937.63;48093.04;3872.87;83.43;564.86;43.42;0.00;1.48;0.25;86.82;0.00;122.60;0.00;819.43;186.99;249.09;2.19;4255.54;11.97;24.32;36.29;0.00;9505.84;14500.00;0.00;1977.87;0.00;0.00;0.00;72.59;0.00;0.00;16550.47;26056.31;1599.91;0.00;0.00;0.00;1599.91;0.00;229.69;0.35;0.00;498.42;0.00;19708.37;0.00;22036.73
2013.00;educacion;890913319.00;3.50;327.86;1251.43;2.37;1585.15;0.00;3401.31;0.00;0.00;0.00;3401.31;1290.22;52.86;0.75;0.00;0.00;590.88;1934.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;27.66;0.00;0.00;27.66;6948.81;5.11;0.00;0.00;0.00;17477.06;0.00;0.00;1223.21;365.58;0.00;0.00;0.00;0.00;0.00;0.29;17620.99;17621.28;36692.23;43641.03;2200.34;76.88;820.21;50.69;0.00;1.16;0.29;73.94;0.00;494.03;0.00;1440.32;552.20;202.81;13.33;3823.81;116.84;260.25;377.09;0.00;8686.77;12572.87;0.00;2076.75;0.00;0.00;0.00;79.68;0.00;0.00;14729.30;23416.07;1599.91;0.00;0.00;0.00;1599.91;0.00;143.72;0.35;0.00;859.71;0.00;17621.28;0.00;20224.97
2012.00;educacion;890913319.00;3.50;390.82;827.30;1.09;1222.70;0.00;2857.56;0.00;0.00;0.00;2857.56;1131.59;73.86;0.34;18.73;0.00;538.17;1762.69;0.00;0.00;0.00;0.00;0.00;0.00;0.00;22.71;408.62;0.00;431.33;6274.27;5.11;0.00;0.00;0.00;7819.17;0.00;0.00;1468.20;164.35;0.00;0.00;0.00;0.00;130.13;0.40;6638.43;6638.84;16225.79;22500.06;1194.90;33.84;472.42;16.67;0.00;3.59;0.25;90.84;0.00;2339.02;0.00;2922.80;216.04;192.47;0.49;3119.35;63.13;186.98;250.10;0.00;7929.99;3623.62;0.00;2350.24;126.64;0.00;0.00;86.76;0.00;0.00;6187.26;14117.25;1599.91;0.00;0.00;0.00;1599.91;0.00;54.32;0.35;0.00;89.40;0.00;6638.84;0.00;8382.81
2011.00;educacion;890913319.00;3.50;230.31;520.41;4.44;758.65;0.00;1999.48;0.00;0.00;19.51;1979.97;408.25;13.15;0.07;42.81;0.00;978.23;1442.51;0.00;0.00;0.00;0.00;0.00;0.00;0.00;544.22;0.00;0.00;544.22;4725.35;5.11;0.00;0.00;0.00;8097.65;0.00;0.00;1500.00;334.72;0.00;0.00;0.00;0.00;172.41;0.19;9545.90;9546.09;19655.97;24381.33;1527.22;39.99;247.03;15.19;0.00;3.60;0.26;87.11;0.00;47.87;0.00;401.06;323.33;149.21;0.00;2880.88;98.79;99.75;198.54;0.00;5520.22;3540.00;0.00;0.00;253.28;0.00;0.00;93.84;0.00;0.00;3887.12;9407.35;3999.91;0.00;0.00;0.00;3999.91;0.00;1138.23;0.35;0.00;289.40;0.00;9546.09;0.00;14973.98
2010.00;educacion;890913319.00;4.05;119.71;122.58;4.32;250.66;0.00;2239.66;0.00;0.00;132.17;2107.49;203.04;263.09;198.44;75.50;0.00;889.12;1629.19;0.00;0.00;0.00;0.00;0.00;0.00;0.00;414.54;0.00;0.00;414.54;4401.89;5.06;0.00;0.00;0.00;8440.13;0.00;0.00;1700.00;66.20;0.00;0.00;0.00;0.00;172.41;0.00;9013.21;9013.21;19397.02;23798.90;2372.04;22.54;273.72;31.14;0.00;5.35;0.00;89.10;0.00;40.39;0.00;439.70;191.30;136.58;0.00;3516.76;19.02;52.00;71.02;0.00;6749.94;2796.35;0.00;0.00;0.00;0.00;0.00;100.92;0.00;0.00;2897.27;9647.21;3999.91;0.00;0.00;0.00;3999.91;0.00;942.69;0.35;0.00;195.55;0.00;9013.21;0.00;14151.70
2009.00;educacion;890913319.00;72.63;149.98;217.67;4.23;444.51;5.11;2101.52;0.00;0.00;70.64;2030.88;0.00;24.30;109.15;56.70;0.00;793.30;983.45;0.00;0.00;0.00;0.00;0.00;0.00;0.00;387.65;0.00;0.00;387.65;3851.58;0.00;0.00;0.00;0.00;8749.36;0.00;0.00;1900.00;130.56;0.00;0.00;0.00;0.00;172.41;0.06;8133.19;8133.25;19085.58;22937.16;1043.74;60.10;216.62;30.60;0.00;4.42;0.00;79.88;0.00;32.70;0.00;364.22;295.15;147.37;0.00;3084.68;34.45;89.47;123.92;0.00;5119.18;4701.87;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4701.87;9821.05;3999.91;0.00;0.00;0.00;3999.91;0.00;418.47;40.28;0.00;524.21;0.00;8133.25;0.00;13116.12
2008.00;educacion;890913319.00;3.76;117.48;535.00;62.25;718.49;4.32;2659.77;0.00;0.00;704.09;1955.68;252.88;20.59;185.02;124.69;0.00;665.78;1248.97;0.00;0.00;0.00;0.00;0.00;0.00;0.00;348.85;0.00;0.00;348.85;4276.30;0.00;0.00;0.00;0.00;9026.57;0.00;0.00;0.00;110.53;0.00;0.00;0.00;0.00;172.41;0.00;4261.03;4261.03;13570.54;17846.84;1365.88;26.82;329.82;31.92;0.00;7.09;0.00;68.50;0.00;72.69;0.00;510.01;216.54;106.93;0.00;2726.46;0.00;72.40;72.40;0.00;5025.04;5687.19;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5687.19;10712.23;1000.01;0.00;0.00;0.00;1000.01;0.00;431.57;1080.10;0.00;361.90;0.00;4261.03;0.00;7134.61
2007.00;educacion;890913319.00;3.50;132.29;173.67;0.00;309.46;8.81;2106.94;0.00;0.00;521.76;1585.18;104.70;17.55;131.54;157.67;0.00;540.98;952.43;0.00;0.00;0.00;0.00;0.00;0.00;0.00;255.62;0.00;0.00;255.62;3111.50;0.00;0.00;0.00;0.00;7725.09;0.00;0.00;0.00;81.09;0.00;0.00;0.00;0.00;172.41;0.00;4199.65;4199.65;12178.24;15289.75;1006.25;64.04;194.58;23.90;0.00;0.00;0.00;73.14;0.00;34.14;0.00;325.76;146.46;88.69;0.00;0.00;0.00;0.00;0.00;0.00;1631.20;5082.94;0.00;0.00;0.00;0.00;0.00;1772.48;48.60;0.00;6904.02;8535.22;1000.00;0.00;0.00;0.00;1000.00;0.00;430.76;1120.03;0.00;4.09;0.00;4199.65;0.00;6754.53
2006.00;educacion;890913319.00;3.07;253.29;169.43;0.00;425.79;6.22;2007.36;0.00;0.00;400.00;1607.36;120.86;14.15;61.27;231.55;0.00;456.24;884.08;0.00;0.00;0.00;0.00;0.00;0.00;0.00;132.86;79.89;0.00;212.75;3136.20;2.59;0.00;0.00;0.00;8073.66;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;172.41;0.00;3110.27;3110.27;11358.94;14495.13;2108.33;169.43;197.68;12.29;139.38;0.00;0.00;25.44;0.00;8.12;15.70;398.60;203.28;127.82;3.53;1749.03;0.00;0.00;0.00;0.00;4760.01;3920.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3920.00;8680.01;0.00;0.00;0.00;1000.00;1000.00;0.00;380.76;1159.95;0.00;164.14;0.00;3110.27;0.00;5815.12
