ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020;860026759;715.114,22;487.815,80;227.298,42;58.779,92;45.261,79;831,93;124.088,63;37.918,66;61.886,97;61.886,97;-;0;100.120,32;28.804,76;0;71.315,56;32.417,26;-
2019;860026759;336.526,35;237.193,35;99.333,00;21.978,87;16.616,08;7.137,78;67.875,83;3.102,25;24.370,31;24.370,31;0;8.182,27;54.790,03;16.723,10;0;38.066,92;14.824,81;-
2018;860026759;309.451,08;222.229,82;87.221,26;20.427,08;16.513,12;5.716,10;55.997,16;80.794,79;97.898,14;97.898,14;-;9.016,72;47.910,53;14.111,09;0;33.799,44;12.055,23;-
2017;860026759;277.022,90;200.335,95;76.686,95;20.650,15;24.110,53;6.566,62;38.492,90;267.296,72;295.895,10;295.895,10;0;9.635,79;19.530,30;3.651,16;0;15.879,14;15.090,10;-
2016;860026759;264.028,45;187.427,97;76.600,49;21.962,48;22.584,37;9.140,88;41.194,51;559.741,32;593.699,46;593.699,46;0;22.561,56;29.797,93;4.008,84;0;25.789,09;15.719,82;-
2015;860026759;239.702,51;168.927,59;64.895,24;20.862,61;20.760,08;6,33;29.158,56;193.688,85;205.071,43;205.071,43;-;-3.602,74;14.173,23;3.791,58;0;10.381,65;14.063,62;-
2014;860026759;214.977,40;152.544,71;62.432,70;20.877,87;21.372,33;-;20.182,50;199.458,61;151.373,96;-;-;-;68.267,14;1.628,83;-;66.638,32;12.611,72;1.599,70
2013;860026759;202.022,04;143.768,14;58.253,90;21.870,15;21.880,84;-;14.502,91;52.063,14;44.257,26;-;-;-;22.308,79;1.747,21;-;20.561,57;10.324,71;1.516,73
2012;860026759;203.104,21;144.131,62;58.972,59;19.800,17;22.309,09;-;16.863,33;41.432,09;35.321,12;-;-;-;22.974,30;220,44;-;22.753,86;9.413,72;1.263,77
2011;860026759;188.102,56;137.658,82;50.443,74;15.365,65;21.146,87;-;13.931,22;54.259,04;29.679,16;-;-;-;38.511,10;8.505,41;-;30.005,69;7.268,20;270,79
2010;860026759;193.970,48;132.719,24;61.251,23;13.489,39;20.733,51;-;27.028,34;34.633,06;27.017,10;-;-;-;34.644,29;1.266,97;-;33.377,32;6.914,92;2.340,70
2009;860026759;184.731,23;126.609,95;58.121,28;12.988,04;22.359,47;-;22.773,77;48.248,96;52.889,43;-;-;-;18.133,30;3.682,22;-;14.451,09;6.201,96;2.216,71
2008;860026759;182.845,87;120.937,77;61.908,10;11.932,86;23.241,35;-;26.733,89;52.755,32;59.836,39;-;-;-;19.652,82;3.202,56;-;16.450,27;6.693,79;1.458,48
2007;860026759;184.805,87;114.082,04;70.723,83;11.237,42;22.506,65;-;36.979,76;41.721,05;53.959,53;-;-;-;24.741,29;4.478,01;-;20.263,28;-;-
2006;860026759;168.371,36;109.634,51;58.736,85;10.623,66;20.306,63;-;27.806,57;38.572,41;46.486,21;-;-;-1.215,31;19.892,77;2.972,55;-;15.704,91;-;-
