ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020;860015753;2.492.283,03;1.754.629,37;737.653,66;569.058,62;189.395,80;1.996,22;-18.804,54;0;41.913,73;41.913,73;-;0;-60.718,27;22.190,65;0;-82.908,92;138.643,08;-
2019;860015753;901.615,46;736.950,87;164.664,59;46.450,95;166.589,96;12.300,11;-36.076,20;114,5;1.020,00;1.020,00;0;8.477,49;-28.504,21;-10.176,03;0;-18.328,19;32.679,99;-
2018;860015753;862.777,40;667.807,45;194.969,95;60.686,74;177.808,30;25.267,87;-18.257,22;7.460,06;12.070,86;12.070,86;-;60.811,65;37.943,63;-9.051,24;0;46.994,87;33.809,62;-
2017;860015753;928.094,72;653.859,93;274.234,79;56.899,08;234.575,95;38.846,90;21.606,66;0;6.183,35;6.183,35;0;101.075,92;116.499,23;22.718,16;0;93.781,07;20.262,96;-
2016;860015753;875.399,00;602.351,00;273.048,00;47.197,00;212.937,00;19.538,00;32.452,00;0;42.508,00;42.508,00;0;93.221,00;83.165,00;21.503,00;0;61.662,00;18.591,00;-
2015;860015753;917.040,43;654.458,84;262.581,58;218.693,70;229.995,51;59.367,50;-126.740,12;43.444,76;5.101,39;5.101,39;-;58.198,37;-30.198,38;42.984,95;0;-73.183,33;18.212,61;-
2014;860015753;838.995,10;605.998,51;232.996,59;690.646,39;211.495,41;-;-669.145,20;286.496,45;193.571,29;-;-;-;-576.220,04;-32.440,40;-;-543.779,64;15.390,04;668,84
2013;860015753;820.123,68;624.089,57;196.034,11;59.890,65;218.221,80;-;-82.078,34;326.671,15;84.360,74;-;-;-;160.232,07;-119,45;-;160.351,52;11.096,88;0
2012;860015753;752.268,38;618.980,30;133.288,09;58.566,31;178.323,43;-;-103.601,66;269.670,62;100.262,83;-;-;-;65.806,14;52,77;-;65.753,37;9.278,38;0
2011;860015753;851.084,72;690.835,62;160.249,10;75.907,44;185.308,17;-;-100.966,51;382.006,35;108.432,18;-;-;-;172.607,67;5.010,47;-;167.597,20;7.392,33;0
2010;860015753;804.096,97;618.463,52;185.633,46;176.708,16;186.911,89;-;-177.986,60;177.581,26;89.989,44;-;-;-;-90.394,77;-324,6;-;-90.070,17;5.412,61;54
2009;860015753;808.083,32;627.095,25;180.988,07;49.762,27;168.590,34;-;-37.364,54;237.717,30;54.088,70;-;-;-;146.264,06;-1.396,77;-;147.660,83;3.846,40;57,49
2008;860015753;852.277,65;629.720,44;222.557,22;47.729,17;148.173,21;-;26.654,84;279.372,81;70.783,64;-;-;-;235.244,00;18.544,48;-;216.699,52;5.199,94;54,99
2007;860015753;730.763,28;500.720,49;230.042,79;31.702,97;124.778,79;-;73.561,02;295.231,53;50.912,40;-;-;-;317.880,15;0;-;317.880,15;-;-
2006;860015753;624.635,94;468.195,39;156.440,55;44.906,21;116.108,89;-;-4.574,55;96.433,64;47.015,94;-;-;-10.171,84;44.843,16;0;-;34.671,32;-;-
