ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020;890300406;1.152.385,00;982.942,00;169.443,00;158.413,00;0;0;11.030,00;123.985,00;34.932,00;23.756,00;11.176,00;0;100.083,00;2.154,00;0;97.929,00;0;0
2019;890300406;1.218.823,00;1.016.182,00;202.641,00;149.955,00;0;-;52.686,00;72.092,00;24.957,00;-;-;-;99.821,00;22.707,00;-;77.114,00;0;0
2018;890300406;1.112.930,00;930.064,00;182.866,00;124.017,00;0;0;58.849,00;80.080,00;25.206,00;0;25.206,00;0;113.723,00;-5.449,00;0;119.172,00;57.191,00;265
2017;890300406;1.014.293,00;880.586,00;133.707,00;66.449,00;49.901,00;-;17.357,00;87.208,00;43.608,00;-;-;-;60.957,00;-1.748,00;-;62.705,00;48.153,00;0
2016;890300406;924.220,00;764.164,00;160.056,00;65.681,00;41.378,00;-;52.997,00;93.003,00;37.195,00;-;-;-;108.805,00;8.077,00;-;100.728,00;-;-
2015;890300406;875.559,00;708.059,00;167.500,00;61.042,00;42.172,00;-;64.286,00;84.229,00;25.368,00;-;-;-;123.147,00;22.645,00;-;100.502,00;-;-
2014;890300406;795.775,11;658.577,80;137.197,31;61.985,65;39.929,45;-;35.282,21;65.346,33;28.217,61;-;-;-;72.410,93;5.867,25;-;66.543,68;717.078,57;0
2013;890300406;751.656,44;636.333,15;115.323,29;55.828,21;40.517,86;-;18.977,22;60.368,29;21.357,96;-;-;-;57.987,54;4.740,95;-;53.246,59;9,1;0
2012;890300406;763.218,95;651.230,74;111.988,21;56.434,45;40.274,11;-;15.279,65;47.417,61;22.046,91;-;-;-;40.650,35;3.755,01;-;36.895,34;-;-
2011;890300406;751.935,63;643.059,07;108.876,56;52.899,39;36.026,67;-;19.950,51;35.384,97;18.906,30;-;-;-;36.429,17;4.743,45;-;31.685,72;-;-
2010;890300406;744.890,87;629.031,18;115.859,70;52.881,81;40.536,56;-;22.441,32;47.124,54;16.068,57;-;-;-;53.497,30;3.505,05;-;49.992,25;0;0
2009;890300406;670.039,29;581.143,20;88.896,09;48.955,41;35.653,16;-;4.287,52;49.665,66;23.260,16;-;-;-;30.693,03;4.008,58;-;26.684,45;0;0
2008;890300406;688.235,96;568.745,26;119.490,70;48.182,41;32.290,64;-;39.017,65;47.441,37;25.640,30;-;-;-;60.818,72;8.920,30;-;51.898,42;0;0
2007;890300406;687.650,42;542.572,18;145.078,24;51.458,25;29.533,27;-;64.086,72;79.367,29;31.015,50;-;-;-;112.438,51;10.355,10;-;102.083,41;-;-
2006;890300406;621.435,65;501.396,86;120.038,79;47.060,06;8.155,91;-;64.822,82;34.360,52;26.453,43;-;-;1.715,13;72.729,90;17.244,65;-;57.200,38;-;-
