ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020;890301960;705.022,26;616.773,77;88.248,49;88.969,15;16.867,96;6.934,89;-10.653,74;1.735,32;29.233,91;29.233,91;-;0;-38.152,32;-8.799,48;0;-29.352,85;40.058,25;-
2019;890301960;738.196,34;639.721,83;98.474,50;10.825,70;58.283,12;2.439,94;31.805,63;1.163,94;23.319,62;23.319,62;0;18.716,92;28.366,87;7.012,39;0;21.354,48;36.526,77;-
2018;890301960;702.648,92;593.070,29;109.578,64;16.894,93;54.719,87;593,33;38.557,16;1.178,54;24.195,71;24.195,71;-;42.042,91;57.582,90;11.509,15;0;46.073,75;31.453,26;-
2017;890301960;652.463,67;554.501,72;97.961,95;11.514,19;50.930,25;3.497,98;39.015,48;1.789,23;30.341,02;30.341,02;0;31.425,37;41.889,07;8.451,51;0;33.437,56;28.802,06;-
2016;890301960;616.766,07;520.815,67;95.950,40;14.111,15;49.797,02;-32,64;32.009,58;4.049,80;16.947,73;16.947,73;0;32.177,31;51.288,96;-18.406,99;0;69.695,95;26.893,90;-
2015;890301960;613.656,09;469.292,09;116.044,74;39.076,62;12.772,74;-123,55;92.391,09;0;29.341,12;29.341,12;-;0;63.049,98;8.868,27;0;54.181,70;24.472,74;-
2014;890301960;497.930,62;401.906,29;96.024,33;9.143,77;31.508,61;-;55.371,96;1.551,92;31.666,83;-;-;-;25.257,05;-1.396,37;-;26.653,42;28.570,43;422,86
2013;890301960;454.199,79;437.305,83;16.893,96;11.403,57;29.552,97;-;-24.062,59;2.291,75;25.528,92;-;-;-;-47.299,75;-896,63;-;-46.403,12;40.155,72;1.568,16
2012;890301960;486.287,73;460.410,92;25.876,81;14.459,62;33.156,71;-;-21.739,52;14.982,19;18.868,63;-;-;-;-25.625,96;-2.317,83;-;-23.308,13;38.597,69;3.387,82
2011;890301960;483.039,15;489.467,71;-6.428,57;17.512,35;25.158,92;-;-49.099,83;57.081,10;51.285,30;-;-;-;-43.304,04;-6.255,72;-;-37.048,32;32.513,55;3.186,76
2010;890301960;479.728,09;463.768,81;15.959,28;14.858,86;21.371,75;-;-20.271,33;61.042,95;46.105,84;-;-;-;-5.334,22;2.501,78;-;-7.836,00;48.136,11;3.406,34
2009;890301960;489.983,95;444.096,52;45.887,43;15.266,84;23.219,34;-;7.401,24;39.711,84;44.243,89;-;-;-;2.869,19;2.351,11;-;518,08;30.267,77;3.029,23
2008;890301960;524.499,27;456.026,87;68.472,41;12.297,34;26.674,04;-;29.501,02;55.596,77;58.764,34;-;-;-;26.333,45;6.837,35;-;19.496,10;29.905,61;2.904,77
2007;890301960;539.149,10;460.485,02;78.664,09;10.892,17;30.194,09;-;37.577,83;41.845,02;45.877,53;-;-;-;33.545,32;3.107,08;-;30.438,23;-;-
2006;890301960;520.232,89;438.429,68;81.803,21;12.039,21;26.568,15;-;43.195,85;45.130,33;42.277,80;-;-;896,06;46.048,37;8.747,52;-;38.196,92;-;-
