ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020;817000680;593.918,35;390.285,64;203.632,71;9.657,76;48.907,33;41,9;145.109,51;1.272,43;27,73;27,73;-;0;146.354,22;29.357,63;0;116.996,59;20.111,05;-
2019;817000680;633.880,14;411.606,01;222.274,14;54.423,01;11.329,42;-1.561,05;154.960,65;134,48;1.399,51;1.399,51;0;0;153.695,62;29.349,20;0;124.346,42;18.935,62;-
2018;817000680;604.782,33;380.884,73;223.897,60;21.381,19;44.084,38;1.254,95;159.686,97;1.410,07;3,09;3,09;-;0;161.093,95;31.408,01;0;129.685,94;13.622,15;-
2017;817000680;602.040,66;367.508,12;234.532,54;4.587,88;41.608,23;-620,36;187.716,07;1.593,86;1.814,13;1.814,13;0;0;187.495,81;37.508,03;0;149.987,78;13.246,77;-
2016;817000680;555.310,63;359.979,56;195.331,07;26.541,82;7.973,37;-1.500,52;159.315,37;186,47;4.746,68;4.746,68;0;0;154.755,16;27.960,18;0;126.794,98;12.174,16;-
2015;817000680;454.532,93;310.771,84;143.003,73;24.398,42;9.561,82;0;109.800,85;1.553,70;568,44;568,44;-;0,03;110.786,14;16.873,02;0;93.913,12;9.751,59;-
2014;817000680;364.629,78;247.608,43;117.021,35;6.434,57;26.711,98;-;83.874,79;9.105,79;4.628,88;-;-;-;88.351,70;13.517,14;-;74.834,56;17.578,16;0
2013;817000680;365.926,19;243.675,63;122.250,56;6.591,29;20.607,21;-;95.052,06;3.099,50;1.611,76;-;-;-;96.539,80;14.978,34;-;81.561,46;19.144,22;68,76
2012;817000680;175.640,85;116.768,84;58.872,01;3.476,85;9.606,32;-;45.788,84;1.084,51;223,34;-;-;-;46.650,01;6.625,00;-;40.025,01;9.153,32;34,38
2011;817000680;166.838,03;118.492,09;48.345,94;2.191,86;8.462,43;-;37.691,65;1.606,53;1.272,36;-;-;-;38.025,82;6.268,19;-;31.757,64;8.660,39;36,48
2010;817000680;146.605,89;104.448,65;42.157,24;2.192,88;7.733,09;-;32.231,27;587,59;1.350,94;-;-;-;31.467,92;4.705,78;-;26.762,14;8.114,08;2,1
2009;817000680;292.523,47;216.862,95;75.660,53;4.575,85;16.419,69;-;54.664,99;2.206,87;3.593,38;-;-;-;53.278,48;8.395,00;-;44.883,48;15.690,45;4,2
2008;817000680;273.783,19;204.211,13;69.572,06;2.948,08;16.087,96;-;50.536,02;4.164,50;5.736,46;-;-;-;48.964,06;13.553,79;-;35.410,27;12.503,49;4,2
2007;817000680;241.546,22;180.949,62;60.596,60;2.628,02;10.838,25;-;47.130,34;4.410,78;3.846,80;-;-;-;47.694,32;13.715,44;-;33.978,87;-;-
2006;817000680;199.597,48;154.155,80;45.441,68;2.255,69;9.514,84;-;33.671,15;5.866,77;1.481,91;-;-;-3.843,68;38.056,01;153,71;-;34.058,63;-;-
