,BALANCE GENERAL,NIT,Caja,Bancos,Cuentas De Ahorro,Fondos,SUBTOTAL DISPONIBLE,INVERSIONES CP,Clientes,Cuentas Corrientes Comerciales,Deudas De Difícil Cobro,Provisiones (db),TOTAL DEUDORES COMERCIALES,Cuentas Por Cobrar A Socios y Accionistas,Anticipos y Avances,Anticipo De Imptos. y Contrib.O Saldos A Favor,Cuentas Por Cobrar a Trabajadores,Activos Biológicos CP,Deudores Varios / Otros Activos No Financieros,TOTAL OTROS DEUDORES,Materias Primas,Productos En Proceso,Productos Terminados,M/Cías No Fabricadas Por La Emp,"Materiales, Repuestos y Accesorios",Otros Inventarios y Provisiones,SUBTOTAL INVENTARIOS,Gastos Pagados Por Anticipado,Cargos Diferidos,Amortización Acumulada y Otros,SUBTOTAL DIFERIDO,TOTAL ACTIVO CORRIENTE,Inversiones LP,Activos biológicos no corrientes,CxC comerciales y otras CxC no corrientes,Subtotal Deudores A Largo Plazo,Propiedades Planta Y Equipo,Plusvalía,Activos intangibles distintos de la plusvalía,Subtotal Intangibles,Subtotal Diferidos,Inventarios no corrientes,"Activos por impuestos corrientes, no corriente",Otros activos no financieros no corrientes,Activos LP pignorados como garantía para Vender,Subtotal Otros Activos,De Inversiones Y Otros,De Propiedades Planta Y Equipo,Subtotal Valorizaciones,TOTAL ACTIVO NO CORRIENTE,TOTAL ACTIVO,Obligaciones Financieras,Proveedores CP,Costos y Gastos Por Pagar,Retención En La Fuente,Deudas Con Accionistas O Socios,Impuesto A Las Ventas Retenido,Impuesto De Industria y Comercio Retenido,"Provisiones, Retenciones y Aportes de Nómina",Otras provisiones corrientes,Acreedores,Otras Cuenta Por Pagar,SUBTOTAL CUENTAS POR PAGAR,IMPUESTOS GRAVAMENES Y TASAS,OBLIGACIONES LABORALES,SUBTOTAL PASIVOS ESTIMAD. Y PROVIS.,DIFERIDOS,Anticipos y Avances Recibidos,Otros,SUBTOTAL OTROS PASIVOS,SUBTOTAL BONOS Y PAPELES COMERCIA.,TOTAL PASIVO CORRIENTE,Obligaciones Financieras,Proveedores LP,Subtotal Cuentas Por Pagar,Impuestos Gravámenes y Tasas,Obligaciones Laborales,Subtotal Pasivos Estimad. y Provis.,Subtotal Diferidos,Subtotal Otros Pasivos,Subtotal Bonos y Papeles Comercia.,TOTAL PASIVO NO CORRIENTE,TOTAL PASIVO,Capital Suscrito y Pagado,Prima de emisión,Acciones propias en cartera,Aportes Sociales y Otros,SUBTOTAL CAPITAL SOCIAL,SUBTOTAL SUPERAVIT DE CAPITAL,RESERVAS,REVALORIZACION DEL PATRIMONIO,DIVIDEN. O PARTC. DECRET. EN ACC.O CUOTAS,RESULTADOS DEL EJERCICIO,RESULTADOS DE EJERCICIOS ANTERIORES,SUPERAVIT POR VALORIZACIONES,INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES,TOTAL PATRIMONIO,TOTAL PASIVO Y PATRIMONIO
,2020,860058553,13,"5,667.93",0,-,"5,680.93",0,678.43,-,-,18.94,659.49,0,0,0,-,0,289.86,289.86,-,-,-,-,-,11.37,11.37,-,-,-,-,"6,641.66",0,0,"1,233.76","1,233.76","23,256.06",0,0,0,0,0,"1,398.27",510.48,0,"1,908.76",-,-,-,"26,398.57","33,040.23",892.91,"1,332.12",265.06,-,-,-,-,-,0,-,-,265.06,"1,059.68","1,186.38",40.22,-,-,643.18,643.18,-,"5,419.55",149.46,0,0,0,0,-,975.08,"7,729.74",-,"8,854.28","14,273.83",527,0,0,-,527,0,263.5,0,-,-,"17,975.90",-,0,"18,766.40","33,040.23"
,2019,860058553,-,"7,118.38",-,-,"7,118.38",0,"1,567.05",-,-,-,"1,567.05",-,0,"1,252.39",-,0,0,"1,252.39",-,-,-,-,-,12.4,12.4,-,-,-,-,"9,950.22",510.48,0,0,0,"24,081.21",0,0,0,0,0,0,"1,014.21",0,"1,014.21",-,-,-,"25,605.90","35,556.12","1,209.40","3,044.80",-,-,-,-,-,"2,359.04",51.25,-,"7,698.22","10,108.51",0,-,-,-,-,-,-,-,"14,362.70","1,042.36",0,0,"2,587.40",-,-,0,851.82,-,"4,481.59","18,844.29",527,0,0,-,527,0,263.5,0,-,-,"15,921.33",-,0,"16,711.83","35,556.12"
,2018,860058553,-,"5,464.18",-,-,"5,464.18",0,"1,445.29",-,-,-,"1,445.29",-,0,"1,195.39",-,0,0,"1,195.39",-,-,-,-,-,0,0,-,-,-,-,"8,104.86",510.48,0,0,0,"24,672.28",0,0,0,0,0,0,969.37,0,969.37,-,-,-,"26,152.13","34,256.98","3,463.81","3,272.40",-,-,-,-,-,"2,176.77",58.59,-,"7,571.98","9,807.34",0,-,-,-,-,-,-,-,"16,543.55","4,085.22",0,0,0,-,-,0,719.01,-,"4,804.23","21,347.79",527,0,0,-,527,0,263.5,0,-,-,"12,118.70",-,0,"12,909.20","34,256.98"
,2017,860058553,36.66,"2,864.34",-,-,"2,901.00",0,"2,290.42",-,-,-,"2,290.42",0,0,"1,105.24",-,0,0,"1,105.24",-,-,-,-,-,0,0,-,-,-,-,"6,296.67",0,0,0,0,"22,804.40",0,0,0,0,0,0,0,510.48,510.48,-,-,-,"23,314.88","29,611.55","1,817.29","5,302.25",0,-,-,-,-,"1,869.43",0,-,0,"1,869.43","1,963.64",-,-,-,-,-,-,-,"10,952.61","7,549.24",0,-,0,0,0,659.62,0,-,"8,208.86","19,161.47",527,0,0,-,527,0,119.73,0,-,-,"9,803.35",-,0,"10,450.07","29,611.55"
,2016,860058553,-,"4,152.71",-,-,"4,152.71",0,"1,794.44",-,-,-,"1,794.44",-,0,751.39,-,0,0,751.39,-,-,-,-,-,0,0,-,-,-,-,"6,698.55",510.48,0,0,0,"22,456.29",0,0,0,0,0,0,0,0,0,-,-,-,"22,966.77","29,665.32",0,"3,163.17",-,-,-,-,-,"1,712.72",0,-,0,"1,712.72","1,746.28",-,-,-,-,-,-,-,"6,622.18","10,967.80",0,0,0,-,-,526.08,"3,984.70",-,"15,478.58","22,100.75",527,0,0,-,527,0,119.73,0,-,-,"6,917.84",-,0,"7,564.57","29,665.32"
,2015,860058553,10.79,"1,687.90",198.52,0,"1,897.20",510.48,769.21,0,0,18.33,750.89,0,86.68,429.49,20.12,-,"2,253.73","2,790.02",0,0,0,0,0,0,0,0,0,0,0,"5,948.59",0,-,-,0,"13,414.40",-,-,"1,030.62",60.76,-,-,-,-,0,0,"4,396.89","4,396.89","18,902.67","24,851.26",700,234.81,791.98,117.27,0,0,3.24,200.43,-,88.53,138.3,"1,339.74",583.63,"1,134.45",0,"2,965.41",0,318.88,318.88,0,"7,276.92","11,464.51",0,0,0,0,0,0,0,0,"11,464.51","18,741.43",527,-,-,0,527,4.26,119.73,9.37,0,"1,028.72",23.87,"4,396.89",-,"6,109.83","24,851.26"
,2014,860058553,18.25,269.69,"1,159.44",0,"1,447.38",510.48,643.42,0,0,10.7,632.72,19.3,24.52,308.57,9.1,-,"2,209.93","2,571.41",0,0,0,0,0,0,0,63.6,0,0,63.6,"5,225.59",0,-,-,0,"10,307.47",-,-,605.71,0,-,-,-,-,0,"4,396.89",0,"4,396.89","15,310.06","20,535.65",0,69.52,390.87,127.26,0,0,2.04,182.77,-,282.62,239.04,"1,224.59",462.44,986.69,0,"2,627.69",0,98.95,98.95,0,"5,469.88","9,231.62",0,0,0,0,0,0,0,0,"9,231.62","14,701.50",103,-,-,0,103,4.27,119.73,436.41,0,773.87,0,"4,396.89",-,"5,834.15","20,535.65"
,2013,860058553,41.76,215.59,607.11,0,864.45,"2,596.27",711.46,0,0,48.91,662.55,0,25.32,126.45,0.1,-,126.23,278.1,0,0,0,0,0,0,0,54.47,0,0,54.47,"4,455.83",0,-,-,0,"9,068.84",-,-,716.69,0,-,-,-,-,0,"3,390.33",0,"3,390.33","13,175.86","17,631.69",0,73.29,166.05,70.94,0,0,4.06,169.51,-,275.46,242,928.01,232.56,837.13,0,"1,997.09",0,12.21,12.21,0,"4,080.30","9,089.93",0,0,0,0,0,0,0,0,"9,089.93","13,170.22",103,-,-,0,103,0,115.49,436.41,0,416.23,0,"3,390.34",-,"4,461.47","17,631.69"
,2012,860058553,38.84,425.59,320.12,0,784.54,"2,418.29",561.78,0,0,57.7,504.09,0,77.64,119.43,2.23,-,135.17,334.46,0,0,0,0,0,0,0,48.7,81.14,0,129.84,"4,171.22",0,-,-,0,"9,385.68",-,-,38.07,0,-,-,-,-,0,0,"3,390.33","3,390.33","12,814.08","16,985.30",0,75.3,242.32,37.44,0,0,2.46,284.01,-,291.82,226.57,"1,084.62",169.18,771.98,0,"1,828.84",0,69.5,69.5,0,"3,999.44","8,765.21",0,0,0,0,0,0,0,0,"8,765.21","12,764.65",103,-,-,0,103,0,115.49,436.41,0,175.42,0,"3,390.33",-,"4,220.65","16,985.30"
,2011,860058553,14.31,499.26,16.68,0,530.25,"3,302.47",557.07,0,0,90.75,466.32,0,"2,357.83",151,2.62,-,517.2,"3,028.64",0,0,0,0,0,0,0,37.95,129.66,0,167.61,"7,495.29",0,-,-,0,"3,677.31",-,-,0,0,-,-,-,-,0,0,"3,390.33","3,390.33","7,067.64","14,562.94",334.77,62.72,124.98,38.79,0,0,2.52,259.89,-,402.23,327.09,"1,155.49",288.88,658.07,0,"1,647.89",0,194.5,194.5,0,"4,342.32","5,820.00",0,0,0,0,0,0,0,0,"5,820.00","10,162.32",103,-,-,0,103,0,115.49,436.41,0,355.38,0,"3,390.33",-,"4,400.62","14,562.94"
